1,Noctua L9,55.00,0,0
2,Arctic Liquid Freezer 120,80.00,1,1
3,Noctua U12,55.00,2,0
4,Noctua D15,100.00,3,0
5,Arctic Liquid Freezer 240,90.00,2,2
6,Arctic Liquid Freezer 360,110.00,3,3
