1,Arctic P12,7.00,1,56.30,1800,22.5
2,Noctua NF-A12,30.00,1,60.09,2000,22.60
3,Be Quiet! Silent Wings 3,22.00,1,50.50,1450,16.40
4,Scythe Kaze Flex,14.00,1,51.17,1200,24.90
