I1,PRO Z690-A,199.99,3,LGA1700,4
I2,PRIME Z-690,225.00,2,LGA1700,3
I3,AORUS Z690I,300.00,1,LGA1700,2
R1,Strix B550 ITX,224.99,1,Am4,2
R2,MSI B550 M-ATX,184.99,2,Am4,2
R3,Strix B550 ATX,179.99,3,Am4,2
